Tables_in_moodle	Table_type
mdl_assign	BASE TABLE
mdl_assign_grades	BASE TABLE
mdl_assign_overrides	BASE TABLE
mdl_assign_plugin_config	BASE TABLE
mdl_assign_submission	BASE TABLE
mdl_assign_user_flags	BASE TABLE
mdl_assign_user_mapping	BASE TABLE
mdl_assignfeedback_comments	BASE TABLE
mdl_assignfeedback_editpdf_annot	BASE TABLE
mdl_assignfeedback_editpdf_cmnt	BASE TABLE
mdl_assignfeedback_editpdf_queue	BASE TABLE
mdl_assignfeedback_editpdf_quick	BASE TABLE
mdl_assignfeedback_file	BASE TABLE
mdl_assignment	BASE TABLE
mdl_assignment_submissions	BASE TABLE
mdl_assignment_upgrade	BASE TABLE
mdl_assignsubmission_file	BASE TABLE
mdl_assignsubmission_onlinetext	BASE TABLE
mdl_auth_oauth2_linked_login	BASE TABLE
mdl_backup_controllers	BASE TABLE
mdl_backup_courses	BASE TABLE
mdl_backup_logs	BASE TABLE
mdl_badge	BASE TABLE
mdl_badge_backpack	BASE TABLE
mdl_badge_criteria	BASE TABLE
mdl_badge_criteria_met	BASE TABLE
mdl_badge_criteria_param	BASE TABLE
mdl_badge_external	BASE TABLE
mdl_badge_issued	BASE TABLE
mdl_badge_manual_award	BASE TABLE
mdl_block	BASE TABLE
mdl_block_community	BASE TABLE
mdl_block_instances	BASE TABLE
mdl_block_positions	BASE TABLE
mdl_block_recent_activity	BASE TABLE
mdl_block_rss_client	BASE TABLE
mdl_blog_association	BASE TABLE
mdl_blog_external	BASE TABLE
mdl_book	BASE TABLE
mdl_book_chapters	BASE TABLE
mdl_cache_filters	BASE TABLE
mdl_cache_flags	BASE TABLE
mdl_capabilities	BASE TABLE
mdl_chat	BASE TABLE
mdl_chat_messages	BASE TABLE
mdl_chat_messages_current	BASE TABLE
mdl_chat_users	BASE TABLE
mdl_choice	BASE TABLE
mdl_choice_answers	BASE TABLE
mdl_choice_options	BASE TABLE
mdl_cohort	BASE TABLE
mdl_cohort_members	BASE TABLE
mdl_comments	BASE TABLE
mdl_competency	BASE TABLE
mdl_competency_coursecomp	BASE TABLE
mdl_competency_coursecompsetting	BASE TABLE
mdl_competency_evidence	BASE TABLE
mdl_competency_framework	BASE TABLE
mdl_competency_modulecomp	BASE TABLE
mdl_competency_plan	BASE TABLE
mdl_competency_plancomp	BASE TABLE
mdl_competency_relatedcomp	BASE TABLE
mdl_competency_template	BASE TABLE
mdl_competency_templatecohort	BASE TABLE
mdl_competency_templatecomp	BASE TABLE
mdl_competency_usercomp	BASE TABLE
mdl_competency_usercompcourse	BASE TABLE
mdl_competency_usercompplan	BASE TABLE
mdl_competency_userevidence	BASE TABLE
mdl_competency_userevidencecomp	BASE TABLE
mdl_config	BASE TABLE
mdl_config_log	BASE TABLE
mdl_config_plugins	BASE TABLE
mdl_context	BASE TABLE
mdl_context_temp	BASE TABLE
mdl_course	BASE TABLE
mdl_course_categories	BASE TABLE
mdl_course_completion_aggr_methd	BASE TABLE
mdl_course_completion_crit_compl	BASE TABLE
mdl_course_completion_criteria	BASE TABLE
mdl_course_completion_defaults	BASE TABLE
mdl_course_completions	BASE TABLE
mdl_course_format_options	BASE TABLE
mdl_course_modules	BASE TABLE
mdl_course_modules_completion	BASE TABLE
mdl_course_published	BASE TABLE
mdl_course_request	BASE TABLE
mdl_course_sections	BASE TABLE
mdl_data	BASE TABLE
mdl_data_content	BASE TABLE
mdl_data_fields	BASE TABLE
mdl_data_records	BASE TABLE
mdl_editor_atto_autosave	BASE TABLE
mdl_enrol	BASE TABLE
mdl_enrol_flatfile	BASE TABLE
mdl_enrol_lti_lti2_consumer	BASE TABLE
mdl_enrol_lti_lti2_context	BASE TABLE
mdl_enrol_lti_lti2_nonce	BASE TABLE
mdl_enrol_lti_lti2_resource_link	BASE TABLE
mdl_enrol_lti_lti2_share_key	BASE TABLE
mdl_enrol_lti_lti2_tool_proxy	BASE TABLE
mdl_enrol_lti_lti2_user_result	BASE TABLE
mdl_enrol_lti_tool_consumer_map	BASE TABLE
mdl_enrol_lti_tools	BASE TABLE
mdl_enrol_lti_users	BASE TABLE
mdl_enrol_paypal	BASE TABLE
mdl_event	BASE TABLE
mdl_event_subscriptions	BASE TABLE
mdl_events_handlers	BASE TABLE
mdl_events_queue	BASE TABLE
mdl_events_queue_handlers	BASE TABLE
mdl_external_functions	BASE TABLE
mdl_external_services	BASE TABLE
mdl_external_services_functions	BASE TABLE
mdl_external_services_users	BASE TABLE
mdl_external_tokens	BASE TABLE
mdl_feedback	BASE TABLE
mdl_feedback_completed	BASE TABLE
mdl_feedback_completedtmp	BASE TABLE
mdl_feedback_item	BASE TABLE
mdl_feedback_sitecourse_map	BASE TABLE
mdl_feedback_template	BASE TABLE
mdl_feedback_value	BASE TABLE
mdl_feedback_valuetmp	BASE TABLE
mdl_file_conversion	BASE TABLE
mdl_files	BASE TABLE
mdl_files_reference	BASE TABLE
mdl_filter_active	BASE TABLE
mdl_filter_config	BASE TABLE
mdl_folder	BASE TABLE
mdl_forum	BASE TABLE
mdl_forum_digests	BASE TABLE
mdl_forum_discussion_subs	BASE TABLE
mdl_forum_discussions	BASE TABLE
mdl_forum_posts	BASE TABLE
mdl_forum_queue	BASE TABLE
mdl_forum_read	BASE TABLE
mdl_forum_subscriptions	BASE TABLE
mdl_forum_track_prefs	BASE TABLE
mdl_glossary	BASE TABLE
mdl_glossary_alias	BASE TABLE
mdl_glossary_categories	BASE TABLE
mdl_glossary_entries	BASE TABLE
mdl_glossary_entries_categories	BASE TABLE
mdl_glossary_formats	BASE TABLE
mdl_grade_categories	BASE TABLE
mdl_grade_categories_history	BASE TABLE
mdl_grade_grades	BASE TABLE
mdl_grade_grades_history	BASE TABLE
mdl_grade_import_newitem	BASE TABLE
mdl_grade_import_values	BASE TABLE
mdl_grade_items	BASE TABLE
mdl_grade_items_history	BASE TABLE
mdl_grade_letters	BASE TABLE
mdl_grade_outcomes	BASE TABLE
mdl_grade_outcomes_courses	BASE TABLE
mdl_grade_outcomes_history	BASE TABLE
mdl_grade_settings	BASE TABLE
mdl_grading_areas	BASE TABLE
mdl_grading_definitions	BASE TABLE
mdl_grading_instances	BASE TABLE
mdl_gradingform_guide_comments	BASE TABLE
mdl_gradingform_guide_criteria	BASE TABLE
mdl_gradingform_guide_fillings	BASE TABLE
mdl_gradingform_rubric_criteria	BASE TABLE
mdl_gradingform_rubric_fillings	BASE TABLE
mdl_gradingform_rubric_levels	BASE TABLE
mdl_groupings	BASE TABLE
mdl_groupings_groups	BASE TABLE
mdl_groups	BASE TABLE
mdl_groups_members	BASE TABLE
mdl_imscp	BASE TABLE
mdl_label	BASE TABLE
mdl_lesson	BASE TABLE
mdl_lesson_answers	BASE TABLE
mdl_lesson_attempts	BASE TABLE
mdl_lesson_branch	BASE TABLE
mdl_lesson_grades	BASE TABLE
mdl_lesson_overrides	BASE TABLE
mdl_lesson_pages	BASE TABLE
mdl_lesson_timer	BASE TABLE
mdl_license	BASE TABLE
mdl_lock_db	BASE TABLE
mdl_log	BASE TABLE
mdl_log_display	BASE TABLE
mdl_log_queries	BASE TABLE
mdl_logstore_standard_log	BASE TABLE
mdl_lti	BASE TABLE
mdl_lti_submission	BASE TABLE
mdl_lti_tool_proxies	BASE TABLE
mdl_lti_tool_settings	BASE TABLE
mdl_lti_types	BASE TABLE
mdl_lti_types_config	BASE TABLE
mdl_message	BASE TABLE
mdl_message_airnotifier_devices	BASE TABLE
mdl_message_contacts	BASE TABLE
mdl_message_popup	BASE TABLE
mdl_message_processors	BASE TABLE
mdl_message_providers	BASE TABLE
mdl_message_read	BASE TABLE
mdl_message_working	BASE TABLE
mdl_messageinbound_datakeys	BASE TABLE
mdl_messageinbound_handlers	BASE TABLE
mdl_messageinbound_messagelist	BASE TABLE
mdl_mnet_application	BASE TABLE
mdl_mnet_host	BASE TABLE
mdl_mnet_host2service	BASE TABLE
mdl_mnet_log	BASE TABLE
mdl_mnet_remote_rpc	BASE TABLE
mdl_mnet_remote_service2rpc	BASE TABLE
mdl_mnet_rpc	BASE TABLE
mdl_mnet_service	BASE TABLE
mdl_mnet_service2rpc	BASE TABLE
mdl_mnet_session	BASE TABLE
mdl_mnet_sso_access_control	BASE TABLE
mdl_mnetservice_enrol_courses	BASE TABLE
mdl_mnetservice_enrol_enrolments	BASE TABLE
mdl_modules	BASE TABLE
mdl_my_pages	BASE TABLE
mdl_oauth2_endpoint	BASE TABLE
mdl_oauth2_issuer	BASE TABLE
mdl_oauth2_system_account	BASE TABLE
mdl_oauth2_user_field_mapping	BASE TABLE
mdl_page	BASE TABLE
mdl_portfolio_instance	BASE TABLE
mdl_portfolio_instance_config	BASE TABLE
mdl_portfolio_instance_user	BASE TABLE
mdl_portfolio_log	BASE TABLE
mdl_portfolio_mahara_queue	BASE TABLE
mdl_portfolio_tempdata	BASE TABLE
mdl_post	BASE TABLE
mdl_profiling	BASE TABLE
mdl_qtype_ddimageortext	BASE TABLE
mdl_qtype_ddimageortext_drags	BASE TABLE
mdl_qtype_ddimageortext_drops	BASE TABLE
mdl_qtype_ddmarker	BASE TABLE
mdl_qtype_ddmarker_drags	BASE TABLE
mdl_qtype_ddmarker_drops	BASE TABLE
mdl_qtype_essay_options	BASE TABLE
mdl_qtype_match_options	BASE TABLE
mdl_qtype_match_subquestions	BASE TABLE
mdl_qtype_multichoice_options	BASE TABLE
mdl_qtype_randomsamatch_options	BASE TABLE
mdl_qtype_shortanswer_options	BASE TABLE
mdl_question	BASE TABLE
mdl_question_answers	BASE TABLE
mdl_question_attempt_step_data	BASE TABLE
mdl_question_attempt_steps	BASE TABLE
mdl_question_attempts	BASE TABLE
mdl_question_calculated	BASE TABLE
mdl_question_calculated_options	BASE TABLE
mdl_question_categories	BASE TABLE
mdl_question_dataset_definitions	BASE TABLE
mdl_question_dataset_items	BASE TABLE
mdl_question_datasets	BASE TABLE
mdl_question_ddwtos	BASE TABLE
mdl_question_gapselect	BASE TABLE
mdl_question_hints	BASE TABLE
mdl_question_multianswer	BASE TABLE
mdl_question_numerical	BASE TABLE
mdl_question_numerical_options	BASE TABLE
mdl_question_numerical_units	BASE TABLE
mdl_question_response_analysis	BASE TABLE
mdl_question_response_count	BASE TABLE
mdl_question_statistics	BASE TABLE
mdl_question_truefalse	BASE TABLE
mdl_question_usages	BASE TABLE
mdl_quiz	BASE TABLE
mdl_quiz_attempts	BASE TABLE
mdl_quiz_feedback	BASE TABLE
mdl_quiz_grades	BASE TABLE
mdl_quiz_overrides	BASE TABLE
mdl_quiz_overview_regrades	BASE TABLE
mdl_quiz_reports	BASE TABLE
mdl_quiz_sections	BASE TABLE
mdl_quiz_slots	BASE TABLE
mdl_quiz_statistics	BASE TABLE
mdl_rating	BASE TABLE
mdl_registration_hubs	BASE TABLE
mdl_repository	BASE TABLE
mdl_repository_instance_config	BASE TABLE
mdl_repository_instances	BASE TABLE
mdl_repository_onedrive_access	BASE TABLE
mdl_resource	BASE TABLE
mdl_resource_old	BASE TABLE
mdl_role	BASE TABLE
mdl_role_allow_assign	BASE TABLE
mdl_role_allow_override	BASE TABLE
mdl_role_allow_switch	BASE TABLE
mdl_role_assignments	BASE TABLE
mdl_role_capabilities	BASE TABLE
mdl_role_context_levels	BASE TABLE
mdl_role_names	BASE TABLE
mdl_role_sortorder	BASE TABLE
mdl_scale	BASE TABLE
mdl_scale_history	BASE TABLE
mdl_scorm	BASE TABLE
mdl_scorm_aicc_session	BASE TABLE
mdl_scorm_scoes	BASE TABLE
mdl_scorm_scoes_data	BASE TABLE
mdl_scorm_scoes_track	BASE TABLE
mdl_scorm_seq_mapinfo	BASE TABLE
mdl_scorm_seq_objective	BASE TABLE
mdl_scorm_seq_rolluprule	BASE TABLE
mdl_scorm_seq_rolluprulecond	BASE TABLE
mdl_scorm_seq_rulecond	BASE TABLE
mdl_scorm_seq_ruleconds	BASE TABLE
mdl_sessions	BASE TABLE
mdl_stats_daily	BASE TABLE
mdl_stats_monthly	BASE TABLE
mdl_stats_user_daily	BASE TABLE
mdl_stats_user_monthly	BASE TABLE
mdl_stats_user_weekly	BASE TABLE
mdl_stats_weekly	BASE TABLE
mdl_survey	BASE TABLE
mdl_survey_analysis	BASE TABLE
mdl_survey_answers	BASE TABLE
mdl_survey_questions	BASE TABLE
mdl_tag	BASE TABLE
mdl_tag_area	BASE TABLE
mdl_tag_coll	BASE TABLE
mdl_tag_correlation	BASE TABLE
mdl_tag_instance	BASE TABLE
mdl_task_adhoc	BASE TABLE
mdl_task_scheduled	BASE TABLE
mdl_tool_cohortroles	BASE TABLE
mdl_tool_customlang	BASE TABLE
mdl_tool_customlang_components	BASE TABLE
mdl_tool_inspire_models	BASE TABLE
mdl_tool_inspire_models_log	BASE TABLE
mdl_tool_inspire_predict_ranges	BASE TABLE
mdl_tool_inspire_predictions	BASE TABLE
mdl_tool_inspire_train_samples	BASE TABLE
mdl_tool_inspire_used_files	BASE TABLE
mdl_tool_monitor_events	BASE TABLE
mdl_tool_monitor_history	BASE TABLE
mdl_tool_monitor_rules	BASE TABLE
mdl_tool_monitor_subscriptions	BASE TABLE
mdl_tool_recyclebin_category	BASE TABLE
mdl_tool_recyclebin_course	BASE TABLE
mdl_tool_usertours_steps	BASE TABLE
mdl_tool_usertours_tours	BASE TABLE
mdl_upgrade_log	BASE TABLE
mdl_url	BASE TABLE
mdl_user	BASE TABLE
mdl_user_devices	BASE TABLE
mdl_user_enrolments	BASE TABLE
mdl_user_info_category	BASE TABLE
mdl_user_info_data	BASE TABLE
mdl_user_info_field	BASE TABLE
mdl_user_lastaccess	BASE TABLE
mdl_user_password_history	BASE TABLE
mdl_user_password_resets	BASE TABLE
mdl_user_preferences	BASE TABLE
mdl_user_private_key	BASE TABLE
mdl_wiki	BASE TABLE
mdl_wiki_links	BASE TABLE
mdl_wiki_locks	BASE TABLE
mdl_wiki_pages	BASE TABLE
mdl_wiki_subwikis	BASE TABLE
mdl_wiki_synonyms	BASE TABLE
mdl_wiki_versions	BASE TABLE
mdl_workshop	BASE TABLE
mdl_workshop_aggregations	BASE TABLE
mdl_workshop_assessments	BASE TABLE
mdl_workshop_assessments_old	BASE TABLE
mdl_workshop_comments_old	BASE TABLE
mdl_workshop_elements_old	BASE TABLE
mdl_workshop_grades	BASE TABLE
mdl_workshop_grades_old	BASE TABLE
mdl_workshop_old	BASE TABLE
mdl_workshop_rubrics_old	BASE TABLE
mdl_workshop_stockcomments_old	BASE TABLE
mdl_workshop_submissions	BASE TABLE
mdl_workshop_submissions_old	BASE TABLE
mdl_workshopallocation_scheduled	BASE TABLE
mdl_workshopeval_best_settings	BASE TABLE
mdl_workshopform_accumulative	BASE TABLE
mdl_workshopform_comments	BASE TABLE
mdl_workshopform_numerrors	BASE TABLE
mdl_workshopform_numerrors_map	BASE TABLE
mdl_workshopform_rubric	BASE TABLE
mdl_workshopform_rubric_config	BASE TABLE
mdl_workshopform_rubric_levels	BASE TABLE
